day,hour,minute,second,microsecond,baro pressure hpa,acc x,acc y,acc z,gryo x,gryo y,gryo z,humidity,temperature,Ox pressure(psi),Voltage,altitude(meters)
14,13,12,46,81769323,875.7039,9.691729,0.823605,-0.06704,-0.01013,0.020518,0.014922,16.25391,45.57221,2.270508,0.505676,1213.591
14,13,12,46,81769663,875.658,9.691729,0.823605,-0.06704,-0.00453,0.024781,0.014922,16.25391,45.57221,4.711914,0.51178,1214.022
14,13,12,47,81770003,875.6149,9.682152,0.790087,-0.06225,-0.00613,0.027446,0.007994,16.25391,45.57221,3.857422,0.509644,1214.426
14,13,12,47,81770353,875.6849,9.682152,0.790087,-0.06225,-0.00719,0.02638,0.006395,16.2707,45.57221,3.857422,0.509644,1213.771
14,13,12,47,81770693,875.6934,9.682152,0.790087,-0.06225,-0.00666,0.026913,0.014655,16.24476,45.57221,4.589844,0.511475,1213.691
14,13,12,48,81771033,875.6437,9.682152,0.794875,-0.09098,-0.01119,0.028245,0.009326,16.24781,45.61494,4.223633,0.510559,1214.156
14,13,12,48,81771376,875.6074,9.682152,0.794875,-0.09098,-0.00986,0.029311,0.004796,16.23713,45.57221,4.711914,0.51178,1214.497
14,13,12,48,81771716,875.7016,9.68694,0.857124,-0.01437,-0.01412,0.017853,0.007994,16.22034,45.57221,3.735352,0.509338,1213.615
14,13,12,49,81772056,875.7045,9.68694,0.857124,-0.01437,-0.01093,0.01732,0.014922,16.20203,45.57221,3.613281,0.509033,1213.586
14,13,12,49,81772399,875.6498,9.68694,0.857124,-0.01437,-0.00879,0.017587,0.014123,16.18525,45.57221,3.24707,0.508118,1214.101
14,13,12,49,81772739,875.6441,9.639056,0.833182,-0.10535,-0.01359,0.023715,0.011991,16.16846,45.57221,3.979492,0.509949,1214.151
14,13,12,50,81773079,875.6677,9.639056,0.833182,-0.10535,-0.01279,0.012524,0.010392,16.1532,45.59358,3.979492,0.509949,1213.932
14,13,12,50,81773419,875.5615,9.639056,0.833182,-0.10535,-0.0008,0.023182,0.00826,16.13489,45.57221,3.979492,0.509949,1214.925
14,13,12,50,81773762,875.6989,9.65821,0.804452,-0.02394,-0.00773,0.02638,0.012257,16.10895,45.57221,3.613281,0.509033,1213.639
14,13,12,51,81774102,875.6531,9.65821,0.804452,-0.02394,-0.02078,0.015721,0.008793,16.07538,45.57221,3.491211,0.508728,1214.069
14,13,12,51,81774442,875.6957,9.691729,0.833182,-0.08619,-0.00959,0.021317,0.016787,16.04944,45.57221,4.223633,0.510559,1213.67
14,13,12,51,81774792,875.6542,9.691729,0.833182,-0.08619,-0.00373,0.022916,0.021317,16.03265,45.57221,4.101562,0.510254,1214.059
14,13,12,52,81775132,875.6828,9.691729,0.833182,-0.08619,0.001865,0.023982,0.011458,16.01587,45.57221,4.223633,0.510559,1213.789
14,13,12,52,81775472,875.7106,9.691729,0.818817,-0.08619,-0.00746,0.023982,0.005596,16.01587,45.57221,3.24707,0.508118,1213.53
14,13,12,53,81775815,875.642,9.691729,0.818817,-0.08619,-0.004,0.028245,0.01359,16.04181,45.57221,3.857422,0.509644,1214.172
14,13,12,53,81776155,875.6165,9.691729,0.818817,-0.08619,-0.01785,0.02638,0.010126,16.05707,45.55085,3.613281,0.509033,1214.413
14,13,12,53,81776495,875.6526,9.662998,0.837971,-0.06225,-0.01492,0.018919,0.016254,16.09216,45.57221,4.223633,0.510559,1214.072
14,13,12,54,81776835,875.6194,9.662998,0.837971,-0.06225,-0.00293,0.01732,0.011191,16.12573,45.57221,4.101562,0.510254,1214.384
14,13,12,54,81777178,875.6451,9.68694,0.828394,-0.06225,-0.0032,0.025847,0.011191,16.16083,45.57221,3.491211,0.508728,1214.143
14,13,12,54,81777518,875.68,9.68694,0.828394,-0.06225,-0.01093,0.021317,0.016254,16.18525,45.57221,3.857422,0.509644,1213.816
14,13,12,55,81777858,875.5704,9.68694,0.828394,-0.06225,-0.01732,0.018386,0.016787,16.22797,45.57221,4.101562,0.510254,1214.843
14,13,12,55,81778201,875.7336,9.653421,0.833182,-0.05267,-0.00799,0.020251,0.012524,16.24476,45.57221,3.491211,0.508728,1213.313
14,13,12,55,81778541,875.6601,9.653421,0.833182,-0.05267,-0.00586,0.024515,0.014922,16.26154,45.57221,3.857422,0.509644,1214.003
14,13,12,56,81778881,875.7309,9.653421,0.833182,-0.05267,0.005862,0.015188,0.010126,16.26154,45.57221,4.101562,0.510254,1213.34
14,13,12,56,81779231,875.6875,9.710882,0.742203,-0.04788,-0.00986,0.027446,0.009326,16.2707,45.57221,3.613281,0.509033,1213.747
14,13,12,56,81779571,875.6894,9.710882,0.742203,-0.04788,-0.01919,0.024781,0.013057,16.29664,45.57221,4.101562,0.510254,1213.728
14,13,12,57,81779911,875.6631,9.634268,0.751779,-0.11013,-0.01945,0.02185,0.013057,16.31342,45.59358,4.589844,0.511475,1213.974
14,13,12,57,81780251,875.6878,9.634268,0.751779,-0.11013,-0.00027,0.023182,0.008527,16.34699,45.57221,3.735352,0.509338,1213.744
14,13,12,57,81780594,875.7028,9.634268,0.751779,-0.11013,-0.01279,0.025047,0.013323,16.35615,45.57221,3.857422,0.509644,1213.602
14,13,12,58,81780934,875.619,9.591172,0.799663,-0.07661,-0.01146,0.02638,0.005063,16.36378,45.57221,3.24707,0.508118,1214.389
14,13,12,58,81781274,875.6693,9.591172,0.799663,-0.07661,-0.02372,0.017054,0.007994,16.35615,45.57221,3.24707,0.508118,1213.916
14,13,12,58,81781617,875.705,9.591172,0.799663,-0.07661,-0.00959,0.027712,0.004263,16.35615,45.57221,3.369141,0.508423,1213.583
14,13,12,59,81781957,875.6306,9.68694,0.790087,-0.10535,-0.00773,0.021583,0.016787,16.35615,45.57221,3.857422,0.509644,1214.278
14,13,12,59,81782297,875.5704,9.68694,0.790087,-0.10535,-0.01013,0.02185,0.018919,16.34699,45.57221,3.857422,0.509644,1214.843
14,13,12,59,81782640,875.598,9.691729,0.823605,-0.14365,-0.00933,0.016787,0.015721,16.33021,45.57221,3.369141,0.508423,1214.584
14,13,13,0,81782980,875.7288,9.691729,0.823605,-0.14365,-0.01146,0.024515,0.016787,16.30579,45.59358,5.688477,0.514221,1213.358
14,13,13,0,81783320,875.588,9.691729,0.823605,-0.14365,-0.02158,0.025314,0.019452,16.29664,45.59358,4.467773,0.511169,1214.68
14,13,13,0,81783670,875.7423,9.667787,0.80924,-0.1245,-0.01519,0.015721,0.017054,16.27833,45.57221,4.223633,0.510559,1213.232
14,13,13,1,81784054,875.7,9.667787,0.80924,-0.1245,-0.02585,0.017853,0.014922,16.26154,45.57221,3.979492,0.509949,1213.628
14,13,13,1,81784394,875.558,9.662998,0.866701,-0.10535,-0.02078,0.02638,0.009859,16.24476,45.57221,3.613281,0.509033,1214.96
14,13,13,1,81784734,875.6005,9.662998,0.866701,-0.10535,-0.01119,0.014922,0.018652,16.23713,45.57221,3.369141,0.508423,1214.561
14,13,13,2,81785119,875.701,9.662998,0.866701,-0.10535,-0.01306,0.013856,0.011991,16.22034,45.57221,4.467773,0.511169,1213.62
14,13,13,2,81785459,875.7499,9.734824,0.78051,-0.09098,-0.00826,0.016254,0.014389,16.18525,45.57221,0.683594,0.501709,1213.163
14,13,13,2,81785799,875.6966,9.734824,0.78051,-0.09098,-0.01279,0.025847,0.013856,16.18525,45.57221,3.735352,0.509338,1213.662
14,13,13,3,81786142,875.6588,9.734824,0.78051,-0.09098,-0.01332,0.019985,0.010658,16.17762,45.57221,4.101562,0.510254,1214.014
14,13,13,3,81786482,875.7135,9.634268,0.756568,0.02873,-0.0056,0.022649,0.007994,16.16083,45.59358,4.101562,0.510254,1213.501
14,13,13,4,81786822,875.7589,9.634268,0.756568,0.02873,-0.01386,0.02638,0.016521,16.14252,45.57221,4.956055,0.51239,1213.076
14,13,13,4,81787164,875.624,9.672575,0.823605,-0.11971,0.005596,0.016254,0.018919,16.12573,45.57221,4.101562,0.510254,1214.341
14,13,13,4,81787504,875.6381,9.672575,0.823605,-0.11971,-0.00826,0.022649,0.011991,16.10895,45.57221,3.979492,0.509949,1214.209
14,13,13,5,81787844,875.6787,9.672575,0.823605,-0.11971,0.000266,0.020784,0.023182,16.10132,45.57221,3.979492,0.509949,1213.829
14,13,13,5,81788184,875.6378,9.639056,0.814029,-0.07183,-0.00719,0.018386,0.01732,16.08454,45.57221,4.345703,0.510864,1214.212
14,13,13,5,81788534,875.6848,9.639056,0.814029,-0.07183,-0.01759,0.03011,0.008793,16.07538,45.57221,4.223633,0.510559,1213.771
14,13,13,6,81788874,875.6661,9.639056,0.814029,-0.07183,-0.01599,0.020251,0.011191,16.0586,45.57221,3.979492,0.509949,1213.948
14,13,13,6,81789214,875.6708,9.691729,0.80924,-0.04788,-0.00133,0.023982,0.000799,16.06012,45.59358,4.345703,0.510864,1213.903
