#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 10143, 3,    -0.14, 3,   boost,   16.73,  87149.00, 1253.15,   23.20,   24.03, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.13, 3,   boost,   17.60,  87152.00, 1252.86,   22.92,   24.37, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.12, 3,   boost,   18.51,  87155.00, 1252.58,   22.64,   24.71, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.11, 3,   boost,   19.44,  87156.00, 1252.49,   22.54,   25.05, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.10, 3,   boost,   20.40,  87134.00, 1254.56,   24.61,   25.40, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.09, 3,   boost,   21.39,  87133.00, 1254.65,   24.71,   25.75, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.08, 3,   boost,   22.40,  87134.00, 1254.56,   24.61,   26.11, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.07, 3,   boost,   23.44,  87129.00, 1255.03,   25.08,   26.47, 41.4, 4.17, 4.12, 4.09
6, 10143, 3,    -0.06, 3,   boost,   24.49,  87120.00, 1255.87,   25.93,   26.83, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.05, 3,   boost,   25.57,  87114.00, 1256.44,   26.50,   27.19, 41.4, 4.17, 4.14, 4.11
6, 10143, 3,    -0.04, 3,   boost,   26.65,  87116.00, 1256.25,   26.31,   27.56, 41.4, 4.17, 4.12, 4.09
6, 10143, 3,    -0.03, 3,   boost,   27.74,  87102.00, 1257.57,   27.62,   27.94, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.02, 3,   boost,   28.84,  87104.00, 1257.38,   27.44,   28.32, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,    -0.01, 3,   boost,   29.93,  87104.00, 1257.38,   27.44,   28.70, 41.4, 4.17, 4.12, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
6, 10143, 3,     0.00, 3,   boost,   31.02,  87103.00, 1257.47,   27.53,   29.08, 41.4, 4.17, 4.14, 4.09
